,Unnamed: 0,id, text, labels, insult, degree, role, guy, abuse,processed
562,562, tweet21_1235139826321588224, @laSextaTV does very well!! You are sectarians who permanently insult the impartiality of good journalism, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['sectarians', 'insults']",   do very well you be sectarian who permanently insult the impartiality of good journalism
563,563, tweet89_1592838183804612608,"ALMODOVAR IS THAT ALL THE INTELLIGENCE YOU HAVE? CALL AYUSO A BITCH? THEN LOOK, GET OUT OF MADRID IF YOU DON'T LIKE AYUSO AND ALMEIDA, FUCK YOU, WE HAVE CHOSEN THE MADRILEOS -#A", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['BITCH', 'FUCK YOU']",almodovar be that all the intelligence you have call ayuso a bitch then look get out of madrid if you do not like ayuso and almeida fuck you we have choose the madrileos
564,564, tweet21_1591781284027990017," @Monica_Garcia_G I didn't know we had so many male and female doctors. What with about 3,173,568? How many people, people, people. You know what I tell you, Doctor converted into a Physician, that you are very DISGUSTING.. YOU ARE GOING AGAINST HELP, not with the aim of improving healthcare. Vomitive.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['You are very DISGUSTING', 'Vomitive']",   I do not know we have so many male and female doctor what with about   how many people people people you know what I tell you doctor convert into a physician that you be very disgusting you be go against help not with the aim of improve healthcare vomitive
565,565, tweet47_1234939378755153921," @laSextaTV When the truth is told, there is no need to retract it, the sect is garbage that serves as a transmission belt for Dr. fake.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['swill'],   when the truth be tell there be no need to retract it the sect be garbage that serve as a transmission belt for dr fake
566,566, tweet43_1592444536789389312, @RosaVillacastin @JesusLopez @felixlopez and it is said by the premium charo-mamporrera who spends all day messing around with the IDA... You are dirty....you are disgusting., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER,"['charo-mamporrera', 'la IDA', 'You are dirty', 'disgusting dais']",     and it be say by the premium charomamporrera who spend all day mess around with the ida you be dirtyyou be disgusting
567,567, tweet95_1592147188364505088," @TomasPeriko @JesusCintora 200 buses from all over Spain brought thousands of people to Madrid, for Ayuso's health care, why in Asturias, Extremadura, CLM, CyL, Aragon, Cantabria, Valencia the health care is going fucking well, the left brought to Madrid people from all over Spain with 2 sandwiches and two waters", NONVIOLENT, NO,,,, ['it's fucking great'],     bus from all over spain bring thousand of people to madrid for ayusos health care why in asturias extremadura clm cyl aragon cantabria valencia the health care be go fucking well the left bring to madrid people from all over spain with   sandwich and two water
568,568, tweet93_1592197357751631872," @MaxTena1 What disgusting people. It turns out that everyone voted for Ayuso and now MADRID is filled with anti-ayusos. Hahahaha. If it weren't for the disgust that red people give me, I would really laugh. Please all go to North Korea. Thank you", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['What disgusting people'],   what disgusting people it turn out that everyone vote for ayuso and now madrid be fill with antiayusos hahahaha if it be not for the disgust that red people give I I would really laugh please all go to north korea thank you
569,569, tweet18_1235223251212738562, @laSextaTV The pure truth!!, NONVIOLENT, NO,,,, [],   the pure truth
570,570, tweet76_1235234634268659712," @laSextaTV Pablo Iglesia threatens to put journalists who are not related to him in jail... let's make them ""political prisoners"" I haven't seen a single headline. However, you criticize Cayetana for thinking the way the majority of Spaniards think... you are fascists! https://t.co/6IMxI2Pn4U", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['you are fascists!'],   pablo iglesia threaten to put journalist who be not relate to he in jail let make they political prisoner I have not see a single headline however you criticize cayetana for think the way the majority of spaniard think you be fascist
571,571, tweet52_1235086766714961920," @laSextaTV Oh for Cayetana!! We are with you, that's what we think about that sectarian and garbage TV!", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER,"['sectarian', 'trash']",   oh for cayetana we be with you that s what we think about that sectarian and garbage tv
572,572, tweet41_1235190195907112960," @IreneMontero If they don't wear a skirt, how do you say?", NONVIOLENT, NO,,,, [],   if they do not wear a skirt how do you say
573,573, tweet25_1234911270605918211,"@laSextaTV @cayetanaAT @cayetanaAT, the cowardly right doesn't even defend you. Some like @FeijooGalicia attack you. The only ones who have defended you are @vox_es. If you are going to say what you think without complexes, the cowardly PP is not your party. It's time to change.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['right coward', 'coward']",    the cowardly right do not even defend you some like   attack you the only one who have defend you be   if you be go to say what you think without complex the cowardly pp be not your party its time to change
574,574, tweet17_1234963603725410305," @laSextaTV I am with Cayetana,", NONVIOLENT, NO,,,, [],   I be with cayetana
575,575, tweet58_1592266841967456256," AYUSO is nobody, let me explain to myself that she is President, how someone else could have been. We all know why she is there, but this lady is not a Politician, Statesman, Reference, Manager, Committed Person, Intellectual, SHE IS A FUCKING SEA PUPPET AND NOW FALL", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['FUCKING PUPPET'],  ayuso be nobody let I explain to myself that she be president how someone else could have be we all know why she be there but this lady be not a politician statesman reference manager commit person intellectual she be a fucking sea puppet and now fall
576,576, tweet69_1235209758350639104," @laSextaTV @cayetanaAT :@laSextaTV you are the official organ of the socio-communist government, of the nationalists and philo-tarras. You are vomiting.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['filotarras', 'You are vomitous']",     you be the official organ of the sociocommunist government of the nationalist and philotarra you be vomit
577,577, tweet74_1591818750914957313,"@Yolanda_Diaz_ A problem that affects the entire country, but you are so sectarian and rabble that it is Ayuso's fault. The disgust you give me is infinite and your parishioners are half retarded", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['you are so sectarian', 'riffle', 'The disgust you give me is infinite', 'half-retarded']",  a problem that affect the entire country but you be so sectarian and rabble that it be ayusos fault the disgust you give I be infinite and your parishioner be half retarded
578,578, tweet14_1234978035410931712, @laSextaTV There is no lack of reason and anyone with a clear head will continue to bring to light your sectarianism and favorite taste of manipulation to whitewash the inevitable from New Trola. https://t.co/PlUc0n20yo, NONVIOLENT, NO,,,, [],   there be no lack of reason and anyone with a clear head will continue to bring to light your sectarianism and favorite taste of manipulation to whitewash the inevitable from new trola
579,579, tweet51_1235209809760223234," @IreneMontero Alone and drunk... and drugged, you forgot to say ""and drugged"" What a level, Maribel!! Those who arrive home accompanied and sober will have to be deprived of their right to vote.", NONVIOLENT, NO,,,, [],   alone and drunk and drug you forgot to say and drug what a level maribel those who arrive home accompany and sober will have to be deprive of their right to vote
580,580, tweet45_1234896541078507526, @laSextaTV For once a politician tells the truth, NONVIOLENT, NO,,,, [],   for once a politician tell the truth
581,581, tweet15_1235256645799874560, @laSextaTV Sunken Left threatening https://t.co/KxNosfN8sS You are misinformative garbage #Trash https://t.co/4ot9LxJJnI, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['You are misinformative garbage'],   sink leave threaten   you be misinformative garbage  
582,582, tweet9_1234903986760712193,"@laSextaTV Why would you have to retract it, there is no Freedom of expression or how is this going?!?!", NONVIOLENT, NO,,,, [],  why would you have to retract it there be no freedom of expression or how be this go
583,583, tweet92_990356245134610434," 12 millionaires who prove that you are not ugly, just poor #amaliewichmann #angeliqueboyer #benbrown #brucewillis #cathyschmitz #deborahvaldez #dinero #elgerocastro #emmaheming #FAMOUS #ugly #francoishenripinault #inters #jamesgoldstein #jennabentley #melan https://t.co /epcNrAGztm https://t.co/ILTaXAKg3B", NONVIOLENT, YEAH,,,, ['ugly'],   millionaire who prove that you be not ugly just poor                   epcnragztm
584,584, tweet68_1234924531711651849, @laSextaTV Normal., NONVIOLENT, NO,,,, [],   normal
585,585, tweet31_1235115949256323073, @laSextaTV It has fallen short in its definition., NONVIOLENT, NO,,,, [],   it have fall short in its definition
586,586, tweet28_1235114999716052992," @laSextaTV @cayetanaAT @cayetanaAT, this is a cultural struggle, you are great", NONVIOLENT, NO,,,, [],     this be a cultural struggle you be great
587,587, tweet82_1235232517474615296, @IreneMontero Tell it to this one: https://t.co/TcUSZsQPqY, NONVIOLENT, NO,,,, [],   tell it to this one
588,588, tweet46_1234972669809807360," @laSextaTV And he is right to criticize you, or can't he?", NONVIOLENT, NO,,,, [],   and he be right to criticize you or can not he
589,589, tweet41_1592280067031404545,"@JesusCintora The ayuso doesn't go out on the street, she has no fucking idea what happens in the outpatient clinics, giving a plasma in gynecology is a joke, well, with two joints of good Mara I can't handle this great idea", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['he has no fucking idea'],  the ayuso do not go out on the street she have no fucking idea what happen in the outpatient clinic give a plasma in gynecology be a joke well with two joint of good mara I can not handle this great idea
590,590, tweet77_1234917120984698881," @laSextaTV He is brave. !!! Vole, wyoming, Ferreras and other herbs are worthy of study. It would be better for Antena 3. Review content and not try to intimidate opinions.", NONVIOLENT, NO,,,, [],   he be brave   vole wyoming ferreras and other herb be worthy of study it would be well for antena   review content and not try to intimidate opinion
591,591, tweet72_1592028337244962816, @Lobeca2 @Miotroyo2parte @Monica_Garcia_G Ayuso has not worked in her fucking life. I'll give you the resume https://t.co/UJBL7cugdb, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['in his fucking life'],     ayuso have not work in her fucking life ill give you the resume
592,592, tweet50_1235560102398177281," @IreneMontero Nothing justifies a robbery either. But if you go alone and drunk at night to the 3,000 homes, maybe they will steal your wallet and your wig.", NONVIOLENT, NO,,,, [],   nothing justify a robbery either but if you go alone and drunk at night to the   home maybe they will steal your wallet and your wig
593,593, tweet25_1235285534748168194, @IreneMontero It has not been well chosen because it seems that they say that women should drink. It's not necessary to have fun. It is clear that no aggression has any justification., NONVIOLENT, NO,,,, [],   it have not be well choose because it seem that they say that woman should drink its not necessary to have fun it be clear that no aggression have any justification
594,594, tweet5_1235153800438173697,"@laSextaTV If you are more right than a saint, in the sixth they have only been doing ideological journalism for a long time.", NONVIOLENT, NO,,,, [],  if you be more right than a saint in the sixth they have only be do ideological journalism for a long time
595,595, tweet69_1235342903448346624, @laSextaTV Well thank goodness he didn't say that you were going to prison, NONVIOLENT, NO,,,, [],   well thank goodness he do not say that you be go to prison
596,596, tweet98_1234948732812173314, @laSextaTV Good for Cayetana., NONVIOLENT, NO,,,, [],   good for cayetana
597,597, tweet80_989573957140602880," @pnique For silence, those of you and your kind keep when the ""packs"" are of immigrants. #DasAsco", NONVIOLENT, NO,,,, [],   for silence those of you and your kind keep when the pack be of immigrant
598,598, tweet83_1235175123499524096," @laSextaTV WELL, FOR CAYETANA...WELL!", NONVIOLENT, NO,,,, [],   well for cayetanawell
599,599, tweet51_1593130289207074816," @MaleSoria63 @IdiazAyuso What do you know about Machado, you Podemites are a band of illiterate, resentful and lazy people, you provoke disgust and shame, as it annoys you that you will never have Madrid, when you talk about Mrs. ISABEL AYUSO, clean those disgusting jaws. All the best", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['illiterate', 'resentful', 'lazy', 'you provoke disgust', 'shame', 'disgusting']",    what do you know about machado you podemite be a band of illiterate resentful and lazy people you provoke disgust and shame as it annoy you that you will never have madrid when you talk about mrs isabel ayuso clean those disgusting jaw all the good
600,600, tweet62_989963355451543558,Stop wanting attention #ridiculous, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['ridiculous'],stop want attention
601,601, tweet93_1235209659449040897, @IreneMontero Ministry says!..., NONVIOLENT, NO,,,, [],   ministry say
602,602, tweet31_1235255989802237953, @IreneMontero Uffffff...grrrrrr......argggggg....if I write what I think I'm sure...., NONVIOLENT, NO,,,, [],   uffffffgrrrrrrarggggggif I write what I think I m sure
603,603, tweet60_1592181581493538817," @todoesmentiratv Marilo tell Ida Ayuso to lower her tone as a neighborhood bully, the doctor who speaks does so knowing what she is talking about, Ayuso has no fucking idea when she speaks", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['neighborhood bully tone', 'she has no fucking idea']",   marilo tell ida ayuso to lower her tone as a neighborhood bully the doctor who speak do so know what she be talk about ayuso have no fucking idea when she speak
604,604, tweet4_1235372244840443906," @IreneMontero How much every measure, every small improvement, annoys the patriarchy... how it's up to the eggs to have their privileges shaken!!!", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['How much it bothers him', 'how it bothers the eggs']",   how much every measure every small improvement annoy the patriarchy how its up to the egg to have their privilege shake
605,605, tweet85_1591867736103297025,"So you are clear that you are the same fascist shit as Ayuso, I am happy to know that you are clear that when the people rise up you will have the same treatment as her and the other sons of bitches https://t.co/8Aa7zB4wrs", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['fascist shit', 'sons of bitches']",so you be clear that you be the same fascist shit as ayuso I be happy to know that you be clear that when the people rise up you will have the same treatment as she and the other son of bitch
606,606, tweet25_1235235258519429120," @IreneMontero @PabloIglesias But the truth is very cruel because she doesn't have to know it either since the jump from supermarket cashier to the ministry has been c..., poor thing, she is so useless and stupid.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['useless', 'silly']",    but the truth be very cruel because she do not have to know it either since the jump from supermarket cashier to the ministry have be c poor thing she be so useless and stupid
607,607, tweet28_1234952763529990149, @laSextaTV If he has only told one truth., NONVIOLENT, NO,,,, [],   if he have only tell one truth
608,608, tweet78_1234846227650531330, @laSextaTV This one doesn't stop!! https://t.co/dgjUW3Wy4m, NONVIOLENT, NO,,,, [],   this one do not stop
609,609, tweet24_1234940263015034881," @laSextaTV You are absolutely right, your channel is the most sectarian and disgusting in the entire history of Spanish television.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['sectarian', 'creeping']",   you be absolutely right your channel be the most sectarian and disgusting in the entire history of spanish television
610,610, tweet80_1591745142985486337,"Wow, gangsters, the waiting list is the shortest, better hospitals and facilities than, for example, here in the Canary Islands. But here is the Psoe + Podemos, there is no problem here because Ayuso is not there. Very disgusting. You don't give a shit about healthcare. Political shells. https://t.co/NQs062yMBX", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['gangsters', 'Very disgusting', 'You don't give a shit', 'Trileros']",wow gangster the waiting list be the shortest well hospital and facility than for example here in the canary island but here be the psoe   podemos there be no problem here because ayuso be not there very disgusting you do not give a shit about healthcare political shell
611,611, tweet89_1235021528615522304," @laSextaTV @cayetanaAT All my support Cayetana, it is time to call a spade a spade and, as Ferreras said, only does politics according to what he said on the left, instead of being objective and neutral as a professional in the media should be. @populares all my support for Cayetana and her bravery. https://t.co/KMfbhZEzfU", NONVIOLENT, NO,,,, [],    all my support cayetana it be time to call a spade a spade and as ferreras say only do politic accord to what he say on the left instead of be objective and neutral as a professional in the medium should be   all my support for cayetana and her bravery
612,612, tweet73_1590967897136173056,"@DANIROVIRA Ayuso is infinitely grateful to you, with the disgust you cause in people Dani, any criticism of you is a compliment what are you for us", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['disgusting', 'repulsive']",  ayuso be infinitely grateful to you with the disgust you cause in people dani any criticism of you be a compliment what be you for we
613,613, tweet79_1234844154670321666, @laSextaTV There was manipulation on TV in the last years that the PP governed. It seemed like Spain was going to be a bitch..., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['Manipulation', 'whore']",   there be manipulation on tv in the last year that the pp govern it seem like spain be go to be a bitch
614,614, tweet30_1591341186811564032," @laureanoolopez Cagatintas de la Voz attacking Isabel Ayuso every day. After you go, crazy, Trumpist, you will end up calling her a whore.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['Cagatintas', 'whore']",   cagatintas de la voz attack isabel ayuso every day after you go crazy trumpist you will end up call she a whore
615,615, tweet31_1235486412868288513," @IreneMontero Let your fucking Ministry work to be able to take our babies to work to breastfeed her like you do, the rest of us freeze our milk.", VIOLENT, YEAH, MODERATE, PASSIVE, POLICY, ['fucking Ministry'],   let your fucking ministry work to be able to take our baby to work to breastfeed she like you do the rest of we freeze our milk
616,616, tweet93_1234874678956765189,"@laSextaTV It seems that Sextapo hates being criticized... But he hasn't told any lies, Ferreras... Let's see when you explain the three layers of underwear and your wife's ""impartial"" business with Newtrola , verifying the news that you don't like...And anything about your sister-in-law?", NONVIOLENT, NO,,,, [],  it seem that sextapo hate be criticize but he have not tell any lie ferreras let see when you explain the three layer of underwear and your wife impartial business with newtrola   verify the news that you do not likeand anything about your sisterinlaw
617,617, tweet18_991376846150426630, After more than 70 years of #diplomatic relations with #taiwan; our #whore #leather and #whore #nation breaks up with them to get involved with #popularchina... Another nonsense from our #shitty #politicians, VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['whore', 'amera', '#shitty politicians']",  after more than   year of   relation with   our    and    break up with they to get involve with   another nonsense from our  
618,618, tweet18_990304261580836864, I found out today that the #TC created the category of natural persons for profit #ridiculous #shame, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['ridiculous', 'shame']",  I find out today that the   create the category of natural person for profit  
619,619, tweet28_1235347247782653952," @IreneMontero Falt ""and placed"". A skid, if not admitted, is a double skid.", NONVIOLENT, NO,,,, [],   falt and place a skid if not admit be a double skid
620,620, tweet5_1235321278959153157,@IreneMontero @PabloIglesias Somosaguas.... https://t.co/SdNwW7N1nr, NONVIOLENT, NO,,,, [],   somosaguas
621,621, tweet12_1235358809100554241," @IreneMontero Whitewashing drinking and alcoholism in adolescents... This way we are going to solve many problems, yes.", NONVIOLENT, NO,,,, [],   whitewash drinking and alcoholism in adolescent this way we be go to solve many problem yes
622,622, tweet15_1234971737051131904, @laSextaTV Long live Cayetana!! palmeros of the regime!!, NONVIOLENT, NO,,,, [],   long live cayetana palmero of the regime
623,623, tweet60_1592453330064011265," @Spanish_Revo @elmundotoday That, Ayuso, for not paying due attention to those beloved old men who begged Cielito for the execution of 26 million sons of bitches.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['sons of bitches'],    that ayuso for not pay due attention to those beloved old man who beg cielito for the execution of   million son of bitch
624,624, tweet24_1235117468525289473," @laSextaTV I don't see why he has to recant, he tells a truth like a house, but of course, truths usually...", NONVIOLENT, NO,,,, [],   I do not see why he have to recant he tell a truth like a house but of course truth usually
625,625, tweet83_1235489810506059778, @IreneMontero Praising alcoholism from a ministry at the very least is shameful., NONVIOLENT, NO,,,, [],   praise alcoholism from a ministry at the very least be shameful
626,626, tweet36_1235151810823950336, @laSextaTV He is a coherent and principled person!!!!!, NONVIOLENT, NO,,,, [],   he be a coherent and principled person
627,627, tweet52_1235947496528101377,"@laSextaTV Wasn't it @lasexta the one that created a television recount scenario for the coup d'état under the pretext of a referendum? Isn't that trading on parliamentary, ergo democratic, stability?", NONVIOLENT, NO,,,, [],  be not it   the one that create a television recount scenario for the coup détat under the pretext of a referendum be not that trading on parliamentary ergo democratic stability
628,628, tweet41_1234937475325399041, @laSextaTV That's why many Spaniards don't see you... Nor will we ever see you again., NONVIOLENT, NO,,,, [],   that s why many spaniard do not see you nor will we ever see you again
629,629, tweet81_1592506411116023808, EMILIANO CABRON GARCIA MENTAL STRAW OUT OF THE PSOE. AND THE SICK MAN FROM ARAGON ARE PARTNERS OF PUTA AYUSO, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['CABRON', 'MENTAL STRAW', 'THE SICK OF', 'WITCH']",  emiliano cabron garcia mental straw out of the psoe and the sick man from aragon be partner of puta ayuso
630,630, tweet85_1235287495652323330," @IreneMontero How can you be such a false and hypocritical liar, when you are going to rectify and apologize for all the falsehoods that come out of your dirty mouth, I feel disgusted when I hear you speak...fascist", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['liar', 'false', 'hypocritical', 'coming out of your dirty mouth', 'I feel disgusted when I hear you speak', 'fascist']",   how can you be such a false and hypocritical liar when you be go to rectify and apologize for all the falsehood that come out of your dirty mouth I feel disgusted when I hear you speakfascist
631,631, tweet33_1593368589075111938,"The feminists. That's what Ayuso says and God messes up. What are we going to expect from some women who, being a minister of equality, are leaving more rapists on the street than ever. Rapists who will reoffend. How fucking disgusting you are. https://t.co/ysXeQYpuuN", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['How fucking disgusting you are'],the feminist that s what ayuso say and god mess up what be we go to expect from some woman who be a minister of equality be leave more rapist on the street than ever rapist who will reoffend how fucking disgusting you be
632,632, tweet36_1235073906215546882, @laSextaTV And so it is., NONVIOLENT, NO,,,, [],   and so it be
633,633, tweet20_1592062372545548289," Healthcare is going like hell throughout Spain, with waiting lists of more than three weeks at the family doctor and more than 6 months at the specialists in provinces like Almera when in Madrid there is not that much waiting time or coa, but hey, fucking Ayuso.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['fucking ass', 'whore']",  healthcare be go like hell throughout spain with waiting list of more than three week at the family doctor and more than   month at the specialist in province like almera when in madrid there be not that much waiting time or coa but hey fucking ayuso
634,634, tweet81_1235571576516431872, @IreneMontero Alone and drunk I want to get home... Of course I don't know what kind of woman can identify with this??, NONVIOLENT, NO,,,, [],   alone and drunk I want to get home of course I do not know what kind of woman can identify with this
635,635, tweet76_1235014511624704000, @laSextaTV Totally agree with that Lady., NONVIOLENT, NO,,,, [],   totally agree with that lady
636,636, tweet7_992304838573674496,It's very funny that the lupos I wore when I was 8 years old are back in fashion. #livetosee #everythingcomes back #ridiculous #gafastochas #gafotas, NONVIOLENT, YEAH,,,, ['ridiculous'],its very funny that the lupo I wear when I be   year old be back in fashion    back   
637,637, tweet95_1234964865715965954, @laSextaTV Why would he do it if he's just saying the pure truth?, NONVIOLENT, NO,,,, [],   why would he do it if he s just say the pure truth
638,638, tweet70_1234980321755463680, @laSextaTV @ochocuarentay Here you can read that the majority of us agree with you @cayetanaAT want to silence us for not having the same opinion as them. This is called TOTALITARISM or @laSextaTV, VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY, ['TOTALITARISM'],    here you can read that the majority of we agree with you   want to silence we for not have the same opinion as they this be call totalitarism or
639,639, tweet49_1592069935714516993, @rosamariaartal @batidoradegusto Damn!!!.... Disgust with Telefachas.. But Ayuso's... Now on @La1_tve whitewashing the PP.. Leaving an Almeida rally, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['Fuck', 'Disgust', 'Telefachas']",    damn disgust with telefacha but ayusos now on   whitewash the pp leave an almeida rally
640,640, tweet70_1235123146526732288," @laSextaTV You are absolutely right, the sexta is a nest of hate", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['nest of hate'],   you be absolutely right the sexta be a nest of hate
641,641, tweet7_1235836809063436291, @laSextaTV OH GOD but how can he mess with THE SECT., NONVIOLENT, NO,,,, [],   oh god but how can he mess with the sect
642,642, tweet6_1235195424018923522,@IreneMontero A very educational message!, NONVIOLENT, NO,,,, [],  a very educational message
643,643, tweet8_991887031641886720, #Ridiculous #ExplotaTripas #BotaMierdaPorqueComeNo HAHAHAHAHA https://t.co/tq5l76gj1l, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['Ridiculous', 'ExplotaGuts', 'BotaMierdaPorquePorqueNo']",     hahahahaha
644,644, tweet85_1592643273151348738, That the Ayuso bitch does not renew the bonus at 10 in 2023, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['the fox'],  that the ayuso bitch do not renew the bonus at   in
645,645, tweet37_1591769843631783936," ""Ayuso resignation"" ""It has to be noted when voting"" And I have to believe that the demonstration is for public health. He has cheated on your fucking cousin.", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['fucking cousin'],  ayuso resignation it have to be note when vote and I have to believe that the demonstration be for public health he have cheat on your fucking cousin
646,646, tweet87_1234860274072592391," @laSextaTV May the communist from Ferreras buy a monkey. Well, you already have the Pastor. Bravo to Cayetana to this mafia of renegades.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY, ['give him this mafia of renegades'],   may the communist from ferreras buy a monkey well you already have the pastor bravo to cayetana to this mafia of renegade
647,647, tweet42_991491633320513537," @Alexanderklei @youlynsunday Whether he has a big penis or not, that's not your problem, your comment is unnecessary. #Ridiculous", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER,['Ridiculous'],    whether he have a big penis or not that s not your problem your comment be unnecessary
648,648, tweet90_1235012452737323008," @laSextaTV And the one who complains is Ferreras, he has to be screwed!!!", NONVIOLENT, YEAH,,,, ['fuck'],   and the one who complain be ferreras he have to be screw
649,649, tweet28_1592435479370076160," If Elon charged you a cent every time you tweet Franco, Inda, Abascal, Ayuso and Ferreras, Twitter would be the most profitable company in history right now. Look how tired you are, all the fucking day talking about the same thing. Fuck the hell out of here https://t.co/6eyBkhgv57", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['el puto da', 'Fuck the hell out']",  if elon charge you a cent every time you tweet franco inda abascal ayuso and ferreras twitter would be the most profitable company in history right now look how tired you be all the fucking day talk about the same thing fuck the hell out of here
650,650, tweet83_1591137569047138304, @MARIOSUZUKI17 It's just that they don't want to work because of the fucking payment, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['the whore'],   its just that they do not want to work because of the fucking payment
651,651, tweet62_1234993472911753218," @laSextaTV I also insist, you are the journalistic garbage of Spain, you are disgusting", VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER," ['garbage', 'disgusting']",   I also insist you be the journalistic garbage of spain you be disgusting
652,652, tweet19_1592112399288766470, @ElHuffPost BUT WHAT A FUCKING SHAME!!! SHAME!!! Help YOU SHAME!!! RESIGN AND GIVE YOURSELF THOSE AND BULLSHIT., VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER,"['WHAT A SHAME', 'SHAME', 'SHAME ON YOU']",   but what a fucking shame shame help you shame resign and give yourself those and bullshit
653,653, tweet89_1235294472650575879, @IreneMontero But how disgusting you are, VIOLENT, YEAH, MODERATE, EXECUTOR, OTHER, ['disgusting'],   but how disgusting you be
654,654, tweet50_1235193704966746113," @IreneMontero How annoying everyone is to correct the drunk thing. They do not trivialize alcohol consumption, they mark a reality and that's it. I have not drunk anything in my life, for me alcohol is garbage. But that doesn't mean that women who go out to have a good time can drink without being afraid.", NONVIOLENT, NO,,,, [],   how annoying everyone be to correct the drunk thing they do not trivialize alcohol consumption they mark a reality and that s it I have not drunk anything in my life for I alcohol be garbage but that do not mean that woman who go out to have a good time can drink without be afraid
655,655, tweet23_1235245869156438016," @laSextaTV It is totally true, ma Sexta is the main means of disinformation in Spain, it continually seeks to harass politicians who do not sympathize with its shameful ideological line.", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['harass', 'embarrass']",   it be totally true ma sexta be the main mean of disinformation in spain it continually seek to harass politician who do not sympathize with its shameful ideological line
656,656, tweet36_1234911521605550080,"@laSextaTV And you are absolutely right! Just report what interests you, what happened to the case of the ERES 800 million! What happened to Abalos? What happened to Los Corruptos de Podemos? They beat up anyone who is not on the left, lying and manipulating", VIOLENT, YEAH, MODERATE, EXECUTOR, POLICY," ['corrupt', 'beat', 'lying', 'manipulating']",  and you be absolutely right just report what interest you what happen to the case of the ere   million what happen to abalos what happen to los corruptos de podemos they beat up anyone who be not on the left lie and manipulate
657,657, tweet47_1235197256367656964," @IreneMontero Irene, it is an unfortunate phrase, we know the message that is meant to be given, but it can be said another way", NONVIOLENT, NO,,,, [],   irene it be an unfortunate phrase we know the message that be mean to be give but it can be say another way
658,658, tweet91_1235179166049480704," @laSextaTV For once, and without serving as a precedent, I agree with her... the level of the media is deplorable, as are the politicians!!", NONVIOLENT, NO,,,, [],   for once and without serve as a precedent I agree with she the level of the medium be deplorable as be the politician
659,659, tweet84_1235186010138595328," @IreneMontero I would like you to come and explain the motto to my two daughters. I am not able to convey the ""CONCET"".", NONVIOLENT, NO,,,, [],   I would like you to come and explain the motto to my two daughter I be not able to convey the concet
